key,en,af,ar,dua,fr,ha,ig,sw,xh,yo,zu
dashboard.quick_report,Quick Report,Quick Report,Quick Report,Quick Report,Quick Report,Quick Report,Quick Report,Ripoti ya Haraka,Quick Report,Quick Report,Quick Report
dashboard.recent_activity,Recent Activity,Recent Activity,الأنشطة الأخيرة,Recent Activity,Activité récente,Ayyuka na Kwanan nan,Ọrụ nso nso a,Shughuli za Hivi Karibuni,Umsebenzi wakutsha nje,Ìṣe laipẹ,Umsebenzi wakamuva
dashboard.resolved_cases,Resolved,Resolved,Resolved,Resolved,Resolved,Resolved,Resolved,Zilizotatuliwa,Resolved,Resolved,Resolved
dashboard.scan_content,"Scan URLs, emails & files","Skandeer URL’s, e-posse en lêers",فحص الروابط والبريد والملفات,"Scan URLs, emails & files","Analyser des URL, e-mails et fichiers","Duba URLs, imel & fayiloli","Chọgharịa URL, email na faịlụ","Chunguza URL, barua pepe na faili","Skhena ii-URL, ii-imeyile neefayile","Ṣàyẹ̀wò URL, imeèlì àti fáìlì","Skena ama-URL, ama-imeyili namafayela"
dashboard.secure_reporting,Secure cybercrime reporting,Veilige aanmelding van kubermisdade,إبلاغ آمن عن الجرائم الإلكترونية,Secure cybercrime reporting,Signalement sécurisé de cybercriminalité,Bayar da rahoton laifin yanar gizo cikin tsaro,Kpọpụta mpụ kọmputa n’enweghị ihe ize ndụ,Ripoti salama za uhalifu wa saibaa,Ingxelo ekhuselekileyo yolwaphulo-mthetho lwe-intanethi,Ìròyìn ìjẹ̀mí ọdaràn ayélujára ní ààbò,Ukubika ubugebengu be-inthanethi ngokuphepha
dashboard.start_using_app,Start using the app to see your activity here,Start using the app to see your activity here,ابدأ استخدام التطبيق لعرض أنشطتك هنا,Start using the app to see your activity here,Start using the app to see your activity here,Fara amfani da app don ganin ayyukanka a nan,Malite iji ngwa hụ ọrụ gị ebe a,Anza kutumia programu ili kuona shughuli zako hapa,Qalisa ukusebenzisa usetyenziso ukuze ubone umsebenzi wakho apha,Bẹrẹ lo app lati rí ìṣe rẹ níbí,Qala ukusebenzisa uhlelo ukuze ubone umsebenzi wakho lapha
dashboard.subtitle,"Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats.","Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats.","Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats.","Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats.","Votre plateforme de cybersécurité complète pour l'Afrique. Signalez des incidents, obtenez l'aide de l'IA et restez informé des menaces numériques.","Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats.","Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats.","Jukwaa lako kamili la usalama wa saibaa kwa Afrika. Ripoti matukio, pata msaada wa AI, na jifunze kuhusu vitisho vya kidijitali.","Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats.","Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats.","Your comprehensive cybersecurity platform for Africa. Report incidents, get AI assistance, and stay educated about digital threats."
dashboard.welcome,Welcome to Rethicssec,Welcome to Rethicssec,Welcome to Rethicssec,Welcome to Rethicssec,Bienvenue sur Rethicssec,Welcome to Rethicssec,Welcome to Rethicssec,Karibu Rethicssec,Welcome to Rethicssec,Welcome to Rethicssec,Welcome to Rethicssec
education.categories,Categories,Categories,Categories,Categories,Categories,Categories,Categories,Vikundi,Categories,Categories,Categories
education.learn_protect,Learn & Protect,Learn & Protect,Learn & Protect,Learn & Protect,Learn & Protect,Learn & Protect,Learn & Protect,Jifunze na Kujilinda,Learn & Protect,Learn & Protect,Learn & Protect
education.mobile_security,Mobile Security,Mobile Security,Mobile Security,Mobile Security,Mobile Security,Mobile Security,Mobile Security,Usalama wa Simu,Mobile Security,Mobile Security,Mobile Security
education.online_shopping,Online Shopping,Online Shopping,Online Shopping,Online Shopping,Online Shopping,Online Shopping,Online Shopping,Ununuzi Mtandaoni,Online Shopping,Online Shopping,Online Shopping
education.password_security,Password Security,Password Security,Password Security,Password Security,Password Security,Password Security,Password Security,Usalama wa Nenosiri,Password Security,Password Security,Password Security
education.phishing_awareness,Phishing Awareness,Phishing Awareness,Phishing Awareness,Phishing Awareness,Phishing Awareness,Phishing Awareness,Phishing Awareness,Ufahamu wa Udanganyifu,Phishing Awareness,Phishing Awareness,Phishing Awareness
education.security_education,Cybersecurity Education,Cybersecurity Education,Cybersecurity Education,Cybersecurity Education,Cybersecurity Education,Cybersecurity Education,Cybersecurity Education,Elimu ya Usalama wa Saibaa,Cybersecurity Education,Cybersecurity Education,Cybersecurity Education
education.social_media,Social Media Safety,Social Media Safety,Social Media Safety,Social Media Safety,Social Media Safety,Social Media Safety,Social Media Safety,Usalama wa Mitandao ya Kijamii,Social Media Safety,Social Media Safety,Social Media Safety
education.wifi_security,WiFi Security,WiFi Security,WiFi Security,WiFi Security,WiFi Security,WiFi Security,WiFi Security,Usalama wa WiFi,WiFi Security,WiFi Security,WiFi Security
emergency.call_now,Call Now,Call Now,Call Now,Call Now,Call Now,Call Now,Call Now,Piga Sasa,Call Now,Call Now,Call Now
emergency.cyber_crime_units,Cyber Crime Units,Cyber Crime Units,Cyber Crime Units,Cyber Crime Units,Cyber Crime Units,Cyber Crime Units,Cyber Crime Units,Vitengo vya Uhalifu wa Saibaa,Cyber Crime Units,Cyber Crime Units,Cyber Crime Units
emergency.emergency_contacts,Emergency Contacts,Emergency Contacts,Emergency Contacts,Emergency Contacts,Emergency Contacts,Emergency Contacts,Emergency Contacts,Mawasiliano ya Dharura,Emergency Contacts,Emergency Contacts,Emergency Contacts
emergency.immediate_help,Need Immediate Help?,Need Immediate Help?,Need Immediate Help?,Need Immediate Help?,Need Immediate Help?,Need Immediate Help?,Need Immediate Help?,Unahitaji Msaada wa Haraka?,Need Immediate Help?,Need Immediate Help?,Need Immediate Help?
emergency.police_stations,Police Stations,Police Stations,Police Stations,Police Stations,Police Stations,Police Stations,Police Stations,Vituo vya Polisi,Police Stations,Police Stations,Police Stations
emergency.report_online,Report Online,Report Online,Report Online,Report Online,Report Online,Report Online,Report Online,Ripoti Mtandaoni,Report Online,Report Online,Report Online
incidents.assigned_officer,Assigned Officer,Assigned Officer,Assigned Officer,Assigned Officer,Assigned Officer,Assigned Officer,Assigned Officer,Afisa Aliyepangiwa,Assigned Officer,Assigned Officer,Assigned Officer
incidents.case_number,Case Number,Case Number,Case Number,Case Number,Case Number,Case Number,Case Number,Nambari ya Kesi,Case Number,Case Number,Case Number
incidents.contact_details,Contact Details,Contact Details,Contact Details,Contact Details,Contact Details,Contact Details,Contact Details,Mawasiliano,Contact Details,Contact Details,Contact Details
incidents.contact_preference,Preferred Contact Method,Preferred Contact Method,Preferred Contact Method,Preferred Contact Method,Preferred Contact Method,Preferred Contact Method,Preferred Contact Method,Njia ya Mawasiliano Unayopendelea,Preferred Contact Method,Preferred Contact Method,Preferred Contact Method
incidents.date_occurred,Date Occurred,Date Occurred,Date Occurred,Date Occurred,Date Occurred,Date Occurred,Date Occurred,Tarehe Ilitokea,Date Occurred,Date Occurred,Date Occurred
incidents.description,Description,Description,Description,Description,Description,Description,Description,Maelezo,Description,Description,Description
incidents.evidence,Evidence,Evidence,Evidence,Evidence,Evidence,Evidence,Evidence,Ushahidi,Evidence,Evidence,Evidence
incidents.financial_loss,Financial Loss (Optional),Financial Loss (Optional),Financial Loss (Optional),Financial Loss (Optional),Financial Loss (Optional),Financial Loss (Optional),Financial Loss (Optional),Hasara ya Kifedha (Si Lazima),Financial Loss (Optional),Financial Loss (Optional),Financial Loss (Optional)
incidents.incident_details,Incident Details,Incident Details,Incident Details,Incident Details,Incident Details,Incident Details,Incident Details,Maelezo ya tukio,Incident Details,Incident Details,Incident Details
incidents.incident_title,Incident Title,Incident Title,Incident Title,Incident Title,Incident Title,Incident Title,Incident Title,Kichwa cha Tukio,Incident Title,Incident Title,Incident Title
incidents.incident_type,Incident Type,Incident Type,Incident Type,Incident Type,Incident Type,Incident Type,Incident Type,Aina ya Tukio,Incident Type,Incident Type,Incident Type
incidents.location,Location,Location,Location,Location,Location,Location,Location,Mahali,Location,Location,Location
incidents.priority,Priority,Priority,Priority,Priority,Priority,Priority,Priority,Kipaumbele,Priority,Priority,Priority
incidents.report_incident,Report Incident,Report Incident,Report Incident,Report Incident,Report Incident,Report Incident,Report Incident,Ripoti Tukio,Report Incident,Report Incident,Report Incident
incidents.report_submitted,Report submitted successfully,Report submitted successfully,Report submitted successfully,Report submitted successfully,Report submitted successfully,Report submitted successfully,Report submitted successfully,Ripoti imewasilishwa kwa mafanikio,Report submitted successfully,Report submitted successfully,Report submitted successfully
incidents.select_type,Select incident type,Select incident type,Select incident type,Select incident type,Select incident type,Select incident type,Select incident type,Chagua aina ya tukio,Select incident type,Select incident type,Select incident type
incidents.status,Status,Status,Status,Status,Status,Status,Status,Hali,Status,Status,Status
incidents.submit_report,Submit Report,Submit Report,Submit Report,Submit Report,Submit Report,Submit Report,Submit Report,Wasilisha Ripoti,Submit Report,Submit Report,Submit Report
incidents.suspect_info,Suspect Information,Suspect Information,Suspect Information,Suspect Information,Suspect Information,Suspect Information,Suspect Information,Taarifa za Mshukiwa,Suspect Information,Suspect Information,Suspect Information
language.choose_preferred,Choose your preferred language,Kies jou voorkeurtaal,اختر لغتك المفضلة,Choose your preferred language,Choisissez votre langue préférée,Zaɓi yaren da kake so,Họrọ asụsụ masịrị gị,Chagua lugha unayopendelea,Khetha ulwimi oluthandayo,Yan èdè tí o fẹ́,Khetha ulimi olukhetha
language.settings,Language Settings,Taalinstellings,إعدادات اللغة,Language Settings,Paramètres de langue,Saitunan Yare,Ntọala Asụsụ,Mipangilio ya Lugha,Iisetingi Zolwimi,Àwọn Ètò Èdè,Izilungiselelo Zolimi
nav.about,About,Oor,حول,About,À propos,Game da,Banyere,Kuhusu,Malunga,Nípa,Mayelana
nav.ai,AI Assistant,AI Assistant,AI Assistant,AI Assistant,AI Assistant,AI Assistant,AI Assistant,Msaidizi wa AI,AI Assistant,AI Assistant,AI Assistant
nav.cases,Cases,Cases,Cases,Cases,Cases,Cases,Cases,Kesi,Cases,Cases,Cases
nav.dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashboard,Dashibodi,Dashboard,Dashboard,Dashboard
nav.education,Learn,Learn,Learn,Learn,Learn,Learn,Learn,Jifunze,Learn,Learn,Learn
nav.emergency,Emergency,Emergency,Emergency,Emergency,Emergency,Emergency,Emergency,Dharura,Emergency,Emergency,Emergency
nav.help,Help,Hulp,المساعدة,Help,Aide,Taimako,Enyemaka,Msaada,Uncedo,Irànlọ́wọ́,Usizo
nav.language,Language,Taal,اللغة,Language,Langue,Yare,Asụsụ,Lugha,Ulwimi,Èdè,Ulimi
nav.profile,Profile,Profile,Profile,Profile,Profile,Profile,Profile,Wasifu,Profile,Profile,Profile
nav.report,Report,Report,Report,Report,Report,Report,Report,Ripoti,Report,Report,Report
nav.scanner,Scanner,Scanner,Scanner,Scanner,Scanner,Scanner,Scanner,Mchunguzi,Scanner,Scanner,Scanner
nav.signout,Sign Out,Teken uit,تسجيل الخروج,Sign Out,Se déconnecter,Fita,Pụọ,Toka,Phuma,Jade,Phuma
profile.about,About Rethicssec,About Rethicssec,About Rethicssec,About Rethicssec,About Rethicssec,About Rethicssec,About Rethicssec,Kuhusu Rethicssec,About Rethicssec,About Rethicssec,About Rethicssec
profile.account_settings,Account Settings,Account Settings,Account Settings,Account Settings,Account Settings,Account Settings,Account Settings,Mipangilio ya Akaunti,Account Settings,Account Settings,Account Settings
profile.help_support,Help & Support,Help & Support,Help & Support,Help & Support,Help & Support,Help & Support,Help & Support,Msaada na Uongozi,Help & Support,Help & Support,Help & Support
profile.my_profile,My Profile,My Profile,My Profile,My Profile,My Profile,My Profile,My Profile,Wasifu Wangu,My Profile,My Profile,My Profile
profile.notification_preferences,Notification Preferences,Notification Preferences,Notification Preferences,Notification Preferences,Notification Preferences,Notification Preferences,Notification Preferences,Mapendeleo ya Arifa,Notification Preferences,Notification Preferences,Notification Preferences
profile.privacy_settings,Privacy Settings,Privacy Settings,Privacy Settings,Privacy Settings,Privacy Settings,Privacy Settings,Privacy Settings,Mipangilio ya Faragha,Privacy Settings,Privacy Settings,Privacy Settings
profile.security_settings,Security Settings,Security Settings,Security Settings,Security Settings,Security Settings,Security Settings,Security Settings,Mipangilio ya Usalama,Security Settings,Security Settings,Security Settings
scanner.content_scanner,Content Scanner,Inhoud Skandeerder,ماسح المحتوى,Content Scanner,Scanner de contenu,Mai Binciken Abun ciki,Nyocha ọdịnaya,Mchunguzi wa Maudhui,Iskena Sezinto Eziqulathiweyo,Onínọmbà Àkóónú,Iskena Sokusunguliwe
scanner.dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Dangerous,Hatari,Dangerous,Dangerous,Dangerous
scanner.enter_email,Enter email content,Enter email content,Enter email content,Enter email content,Enter email content,Enter email content,Enter email content,Ingiza maudhui ya barua pepe,Enter email content,Enter email content,Enter email content
scanner.enter_phone,Enter phone number,Enter phone number,Enter phone number,Enter phone number,Enter phone number,Enter phone number,Enter phone number,Ingiza nambari ya simu,Enter phone number,Enter phone number,Enter phone number
scanner.enter_url,Enter URL to scan,Enter URL to scan,Enter URL to scan,Enter URL to scan,Enter URL to scan,Enter URL to scan,Enter URL to scan,Ingiza URL ya kuchunguza,Enter URL to scan,Enter URL to scan,Enter URL to scan
scanner.safe,Safe,Safe,Safe,Safe,Safe,Safe,Safe,Salama,Safe,Safe,Safe
scanner.scan_email,Scan Email,Scan Email,Scan Email,Scan Email,Scan Email,Scan Email,Scan Email,Chunguza Barua Pepe,Scan Email,Scan Email,Scan Email
scanner.scan_now,Scan Now,Scan Now,Scan Now,Scan Now,Scan Now,Scan Now,Scan Now,Chunguza Sasa,Scan Now,Scan Now,Scan Now
scanner.scan_phone,Scan Phone Number,Scan Phone Number,Scan Phone Number,Scan Phone Number,Scan Phone Number,Scan Phone Number,Scan Phone Number,Chunguza Nambari ya Simu,Scan Phone Number,Scan Phone Number,Scan Phone Number
scanner.scan_url,Scan URL,Scan URL,Scan URL,Scan URL,Scan URL,Scan URL,Scan URL,Chunguza URL,Scan URL,Scan URL,Scan URL
scanner.scanning,Scanning...,Scanning...,Scanning...,Scanning...,Scanning...,Scanning...,Scanning...,Ninachunguza...,Scanning...,Scanning...,Scanning...
scanner.suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Suspicious,Mashuku,Suspicious,Suspicious,Suspicious
scanner.threat_level,Threat Level,Threat Level,Threat Level,Threat Level,Threat Level,Threat Level,Threat Level,Kiwango cha Tishio,Threat Level,Threat Level,Threat Level
scanner.threat_scanner,Threat Scanner,Threat Scanner,Threat Scanner,Threat Scanner,Threat Scanner,Threat Scanner,Threat Scanner,Mchunguzi wa Vitisho,Threat Scanner,Threat Scanner,Threat Scanner
